,Time,LinearA,AngularV
0,0.0,0.0,0.0
1,14416000000,-0.0,0.0
2,14951000000,-0.0,0.0
3,15246000000,-0.0,0.0
4,15471000000,-0.0,0.0
5,15641000000,-0.0,0.0
6,16366000000,-0.0,0.0
7,16421000000,-0.0,0.0
8,17586000000,-0.0,0.0001
9,18286000000,0.057,0.0001
10,18326000000,-0.0,0.0001
11,18501000000,0.0,0.0001
12,18536000000,0.0,0.0001
13,18956000000,-0.0,0.0001
14,18996000000,-0.0,0.0001
15,19151000000,-0.0,0.0001
16,19276000000,0.0,0.0001
17,19326000000,0.0,0.0001
18,19501000000,-0.0,0.0001
19,19726000000,-0.0,0.0001
20,20071000000,0.0,0.0001
21,20106000000,0.0,0.0001
22,20996000000,-0.0646,0.5979
23,21041000000,-0.072,0.5979
24,21261000000,-0.1354,0.7474
25,22246000000,-0.1288,0.8969
26,22546000000,-0.0165,0.7972
27,22906000000,0.0613,0.5978
28,23641000000,0.0204,0.0996
29,23676000000,0.0033,0.0856
30,23716000000,0.0103,0.0498
31,23861000000,0.0,0.0
32,24136000000,0.0,0.0
33,24471000000,0.0,0.0
34,24811000000,0.0,0.0
35,24851000000,0.0,0.0
36,24961000000,0.0,0.0
37,25081000000,0.0104,0.0498
38,25121000000,0.0183,0.0997
39,25201000000,0.0314,0.1495
40,25321000000,0.0431,0.1993
41,25751000000,0.0473,0.1993
42,25916000000,0.0485,0.1993
43,26116000000,0.0497,0.1993
44,26396000000,0.0509,0.1993
45,26476000000,0.0511,0.1993
46,26906000000,0.0514,0.1993
47,26986000000,0.0513,0.1993
48,27021000000,0.0512,0.1993
49,27176000000,0.0508,0.1993
50,27811000000,-0.0509,-0.1993
51,27881000000,-0.0861,0.0715
52,28201000000,-0.2112,-0.7972
53,28361000000,-0.2208,-0.8968
54,28396000000,-0.2144,-0.8968
55,28481000000,-0.1954,-0.8968
56,28561000000,-0.1824,-0.9466
57,29021000000,0.0305,-0.9964
58,29226000000,0.1338,-0.9964
59,29506000000,0.2365,-0.9965
60,29666000000,0.264,-0.9965
61,29826000000,-0.0795,-0.7031
62,30126000000,0.0,0.0
63,30286000000,-0.0,0.0
64,30441000000,-0.0,0.0
65,30971000000,-0.0,0.0
66,31096000000,-0.0,0.0
